customer_id,tenure_months,monthly_charges,total_charges,data_usage_gb,contract_type,payment_method,churn
SYN-00001,7,85.19,537.93,,One year,Bank transfer,0
SYN-00002,55,106.75,5369.25,,One year,Bank transfer,0
SYN-00003,47,65.39,2761.38,,One year,Credit card,0
SYN-00004,32,44.78,1355.54,,Two year,Bank transfer,0
SYN-00005,31,43.67,1335.7,,One year,Mailed check,1
SYN-00006,61,94.6,5168.44,24.21,One year,Credit card,0
SYN-00007,7,101.66,651.95,16.06,One year,Bank transfer,1
SYN-00008,50,30.53,1581.57,25.04,Month-to-month,Credit card,1
SYN-00009,15,26.66,343.8,25.93,Month-to-month,Bank transfer,1
SYN-00010,7,79.44,523.91,20.8,Month-to-month,Credit card,0
SYN-00011,38,34.62,1305.45,14.19,Month-to-month,None,0
SYN-00012,70,102.47,6312.8,31.4,One year,None,0
SYN-00013,53,51.03,2324.53,15.0,Month-to-month,None,0
SYN-00014,55,34.39,1660.01,12.78,Month-to-month,Bank transfer,0
SYN-00015,51,112.1,5910.14,11.26,Month-to-month,Bank transfer,1
SYN-00016,56,36.55,1743.57,21.01,Two year,Electronic check,0
SYN-00017,37,48.47,1591.93,5.23,Month-to-month,Electronic check,1
SYN-00018,10,35.36,302.77,64.4,One year,Credit card,0
SYN-00019,60,31.55,1650.93,24.14,Two year,Credit card,0
SYN-00020,32,22.11,689.15,2.69,Month-to-month,Bank transfer,0
SYN-00021,36,25.54,825.96,19.04,One year,Mailed check,0
SYN-00022,27,37.46,974.85,19.79,Month-to-month,Mailed check,0
SYN-00023,13,25.34,318.89,1.97,Month-to-month,Electronic check,0
SYN-00024,66,79.11,5325.1,8.41,One year,Electronic check,0
SYN-00025,56,88.07,4196.81,5.14,Two year,Credit card,0
SYN-00026,46,59.36,2787.01,3.02,Month-to-month,Mailed check,0
SYN-00027,29,51.8,1462.88,4.43,One year,Bank transfer,1
SYN-00028,59,70.45,3668.36,20.54,Month-to-month,Bank transfer,0
SYN-00029,39,107.5,4211.73,10.56,One year,Mailed check,0
SYN-00030,32,105.11,3434.48,5.23,One year,Electronic check,0
SYN-00031,32,24.35,701.94,3.46,One year,Bank transfer,0
SYN-00032,17,38.15,670.44,27.04,One year,Electronic check,0
SYN-00033,7,43.67,287.62,9.25,Month-to-month,Mailed check,0
SYN-00034,40,44.94,1744.9,18.13,One year,Credit card,1
SYN-00035,64,77.12,5167.31,8.34,One year,Bank transfer,0
SYN-00036,5,61.63,284.21,4.48,One year,Credit card,0
SYN-00037,61,24.93,1539.94,21.02,Month-to-month,Electronic check,0
SYN-00038,59,57.36,3092.11,10.85,Month-to-month,Electronic check,0
SYN-00039,20,72.38,1461.85,15.51,Month-to-month,Mailed check,0
SYN-00040,45,30.17,1317.12,28.37,Month-to-month,Mailed check,0
SYN-00041,12,103.35,1107.83,38.62,Month-to-month,Electronic check,0
SYN-00042,54,25.2,1269.36,19.12,Month-to-month,Credit card,0
SYN-00043,50,112.48,5137.68,14.64,One year,Electronic check,1
SYN-00044,26,29.91,673.16,23.87,Month-to-month,Bank transfer,0
SYN-00045,5,104.36,446.64,4.86,Two year,Bank transfer,0
SYN-00046,69,110.27,6994.58,5.83,One year,Bank transfer,0
SYN-00047,32,117.96,3222.88,19.66,One year,Electronic check,0
SYN-00048,64,100.2,5663.13,5.79,Month-to-month,Mailed check,0
SYN-00049,49,97.95,4775.73,5.7,Month-to-month,Bank transfer,0
SYN-00050,56,84.25,4678.45,31.9,One year,Mailed check,1
SYN-00051,54,97.9,5274.53,25.38,Two year,Bank transfer,0
SYN-00052,14,33.46,427.89,5.98,Month-to-month,Electronic check,0
SYN-00053,26,73.61,1967.46,9.09,One year,Electronic check,1
SYN-00054,34,71.42,2352.44,26.15,One year,Bank transfer,1
SYN-00055,36,105.76,3332.22,1.48,One year,Bank transfer,0
SYN-00056,4,66.28,232.97,19.14,Month-to-month,Electronic check,0
SYN-00057,39,58.51,2255.92,2.81,One year,Credit card,0
SYN-00058,11,83.96,816.97,29.3,Month-to-month,Electronic check,1
SYN-00059,53,46.65,2352.43,9.61,Two year,Credit card,0
SYN-00060,49,33.98,1745.53,2.63,Month-to-month,Bank transfer,1
SYN-00061,66,67.79,3806.61,0.01,Month-to-month,Credit card,0
SYN-00062,53,61.69,2789.98,0.49,Two year,Credit card,1
SYN-00063,27,43.26,1224.81,5.95,Month-to-month,Mailed check,0
SYN-00064,69,56.75,3786.25,23.06,Month-to-month,Credit card,0
SYN-00065,30,56.64,1487.45,0.54,Month-to-month,Electronic check,0
SYN-00066,24,52.75,1303.3,20.06,Month-to-month,Mailed check,0
SYN-00067,65,57.95,3864.97,33.56,Month-to-month,Electronic check,0
